好的，遵命。

我们现在正式基于V1.2版本的PRD，为您生成一份清晰、可执行的开发任务清单（TODO LIST）。这份清单将整个项目分解为具体的、按部就班的任务，可以作为您与开发人员沟通和跟进项目进度的蓝图。

---

### **机构合作版AI量化策略网站 - 开发TODO LIST**

**项目目标:** 开发一个品牌中立、内容可配置、内置私域引流功能的静态网站。

**技术栈核心:** 静态网站生成器 (如 Next.js, Astro) + Markdown 内容管理 + JSON 配置文件。

| **任务状态** | **阶段** | **任务项** | **详细描述与要求** |
| :--- | :--- | :--- | :--- |
| **☐ 未开始** | **Phase 0: 项目设置与规划** | **1. 技术选型与环境搭建** | 最终确定使用的静态网站生成器框架。初始化项目，建立Git代码仓库。 |
| **☐ 未开始** | | **2. 定义核心配置文件 (`config.json`)** | 创建`config.json`文件，并定义好PRD V1.2中要求的所有字段结构，包括机构信息、版权年份、用户计数器等。 |
| **☐ 未开始** | | **3. 规划内容与目录结构** | 建立`/content`目录，并规划好`/research`（文章）和`about.md`（关于我们）的存放结构。 |
| | | | |
| **☐ 未开始** | **Phase 1: UI/UX 设计** | **1. 整体视觉风格设计** | 根据PRD要求（专业、科技感、深色系），设计网站的整体色彩方案、字体规范和视觉基调。 |
| **☐ 未开始** | | **2. 页面高保真设计稿** | 为以下所有页面制作高保真UI设计稿（建议同时出具PC端和移动端版本）：首页, AI核心技术, 风控哲学, 研究洞察(列表页+详情页), 交流与合作, 关于我们。 |
| **☐ 未开始** | | **3. 组件库/样式指南** | 设计统一的按钮、卡片、表单、标题等可复用UI组件样式。 |
| | | | |
| **☐ 未开始** | **Phase 2: 前端开发** | **1. 开发全局组件** | **Header (页头):** 导航栏，LOGO和机构名称需从`config.json`动态读取。 <br> **Footer (页脚):** 版权信息（年份、机构全称）需从`config.json`动态读取，风险提示为固定内容。 |
| **☐ 未开始** | | **2. 开发首页 (`/index`)** | - 巨幕Banner模块 <br> - 投资哲学三大基石卡片模块 <br> - **策略理念示意曲线图 (注意：非真实数据图)** <br> - 核心技术概览模块 <br> - “获取白皮书”CTA转化模块 |
| **☐ 未开始** | | **3. 开发AI核心技术页 (`/technology`)** | - 强化学习引擎介绍模块 <br> - 四大多因子模型展示模块 (可使用Tabs或手风琴效果) <br> - 动态权重机制可视化图表模块 <br> - 决策流程图模块 |
| **☐ 未开始** | | **4. 开发风控哲学页 (`/risk-control`)** | - 风控理念阐述模块 <br> - 多维度风控矩阵图模块 (可用雷达图) <br> - 核心风控机制列表模块 |
| **☐ 未开始** | | **5. 开发研究洞察页 (`/research`)** | - **文章列表页:** 自动读取`/content/research/`目录下的所有Markdown文章，并生成摘要卡片列表。 <br> - **文章详情页模板:** 用于渲染单个Markdown文章的内容。 |
| **☐ 未开始** | | **6. 开发交流与合作页 (`/contact`)** | - **用户计数器模块:** 动态读取并显示`config.json`中的`whitepaper_download_count`数值。 <br> - 价值主张文本模块 <br> - **信息提交表单:** 包含姓名、手机、机构、邮箱字段，并做前端基础校验。 <br> - 隐私保护声明模块 |
| **☐ 未开始** | | **7. 开发关于我们页 (`/about`)** | 创建一个简单的页面，其内容完全由`/content/about.md`文件驱动。 |
| **☐ 未开始** | | **8. 实现响应式布局** | 确保所有页面在桌面、平板和手机设备上都有良好的浏览体验。 |
| | | | |
| **☐ 未开始** | **Phase 3: 内容集成** | **1. 撰写并填充初始内容** | - 根据您提供的资料，撰写各页面的固定文案。 <br> - 撰写2-3篇初始的研究洞察文章，并创建对应的Markdown文件。 <br> - 撰写`about.md`的模板内容。 |
| **☐ 未开始** | | **2. 配置初始`config.json`** | 填入占位符性质的机构名称、LOGO，并设置一个初始的用户计数值。 |
| **☐ 未开始** | | **3. 准备和优化图片素材** | 收集并处理网站所需的所有图片，包括Banner背景、图表插图等，并进行压缩优化。 |
| | | | |
| **☐ 未开始** | **Phase 4: 部署与交付** | **1. 部署网站** | 选择并配置托管平台（如 Vercel, Netlify），设置好从Git仓库的自动化构建和部署流程。 |
| **☐ 未开始** | | **2. 全面测试** | - **功能测试:** 检查所有链接是否正确，表单是否可提交。 <br> - **内容测试:** 检查配置文件修改后，前台内容是否同步更新。 <br> - **兼容性测试:** 在主流浏览器（Chrome, Firefox, Safari）上进行测试。 |
| **☐ 未开始** | | **3. 编写操作指南** | **(关键交付物)** 创建一份清晰简单的`README.md`或PDF文档，用图文方式指导您如何：<br> 1. 修改`config.json`来更换机构信息和用户数。<br> 2. 修改`about.md`来更新公司介绍。<br> 3. 在指定文件夹中添加新的Markdown文件来发布新文章。 |
| **☐ 已完成** | **Phase 5: 项目完成** | **1. 最终交付** | 向您交付网站的全部代码、访问地址以及操作指南。 |

---

**使用建议:**

您可以将此清单复制到任何项目管理工具（如Trello, Jira, Notion或一个简单的Excel表格）中，并与您的开发团队共享。在每个任务完成后，更新其“任务状态”，这样您就可以对项目进度一目了然。
